theta,CMM,CTM,CNM,CδM,CψM,CQM,CMT,CTT,CNT,CδT,CψT,CQT,CMN,CTN,CNN,CδN,CψN,CQN,d
90.0,-0.011,-0.12,0.02,2.0,10.0,-0.9,0.0,0.01,0.001,0.1,-0.9,0.02,-0.001,0.018,0.01,1.0,-1.8,-0.1,8000
95.0,-0.009,-0.06,0.03,2.3,0.0,-0.75,0.0,0.008,0.0,0.05,-0.75,0.03,0.0,0.025,0.008,0.8,-2.3,-0.05,8000
100.0,-0.007,0.02,0.03,2.5,-4.0,-0.5,0.0,0.005,0.0,0.0,-0.5,0.04,0.0,0.03,0.005,0.6,-2.6,0.0,8000
105.0,-0.004,0.05,0.02,2.2,-5.0,-0.25,0.0,0.002,0.0,-0.05,-0.25,0.03,0.0,0.026,0.002,0.35,-2.2,0.05,8000
110.0,-0.002,0.06,0.02,2.0,-6.0,-0.1,0.0,0.001,0.0,-0.08,-0.1,0.03,0.0,0.023,0.001,0.2,-1.8,0.08,8000
115.0,0.0,0.06,0.01,1.5,-5.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.02,0.0,0.02,0.0,0.1,-1.0,0.06,8000
120.0,0.0,0.05,0.01,1.0,-4.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.01,0.0,0.018,0.0,0.0,-0.5,0.05,8000
125.0,0.0,0.05,0.0,0.5,-3.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.04,8000
130.0,0.0,0.04,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8000
135.0,0.0,0.03,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,8000
140.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,8000
145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8000
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8000
155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8000
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8000
165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000
175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000
0.0,-0.5,0.0,1.825,0.0,1500.0,-25.4,0.0,0.5,0.06,0.0,-25.4,1.835,-0.06,1.78,0.5,27.2,0.0,0.0,25000
5.0,-0.35,2.1,1.725,94.0,600.0,-21.0,0.003,0.35,0.025,-2.3,-21.0,1.74,-0.025,1.7,0.35,21.5,-94.0,2.3,25000
10.0,-0.21,3.825,1.45,119.0,20.0,-11.5,0.005,0.21,0.0,-3.7,-11.5,1.44,0.0,1.48,0.21,13.0,-119.0,3.7,25000
15.0,-0.1,4.47,1.16,106.0,-320.0,-3.0,0.004,0.1,-0.013,-4.2,-3.0,1.08,0.013,1.16,0.1,3.5,-106.0,4.2,25000
20.0,-0.01,4.25,0.7,70.0,-430.0,6.4,0.003,0.02,-0.017,-4.25,6.4,0.69,0.017,0.74,0.02,-5.5,-70.0,4.25,25000
25.0,0.04,3.5,0.35,32.0,-400.0,11.0,0.002,-0.03,-0.016,-3.9,11.0,0.36,0.016,0.38,-0.03,-10.5,-32.5,3.9,25000
30.0,0.055,2.5,0.1,0.0,-290.0,12.0,0.0,-0.052,-0.012,-2.5,12.0,0.1,0.012,0.11,-0.052,-11.9,0.0,2.5,25000
35.0,0.054,1.5,-0.06,-22.0,-170.0,11.0,-0.001,-0.057,-0.006,-1.5,11.0,-0.07,0.006,-0.06,-0.057,-11.0,22.0,1.5,25000
40.0,0.045,0.55,-0.16,-32.0,-50.0,8.5,-0.001,-0.045,-0.002,-0.65,8.5,-0.16,0.002,-0.15,-0.045,-8.5,32.0,0.65,25000
45.0,0.035,0.0,-0.18,-32.5,30.0,5.7,-0.002,-0.03,0.001,0.0,5.7,-0.185,-0.001,-0.17,-0.03,-5.8,32.5,0.0,25000
50.0,0.015,-0.375,-0.17,-29.0,80.0,2.6,-0.001,-0.016,0.004,0.39,2.6,-0.162,-0.004,-0.17,-0.016,-3.0,29.0,-0.39,25000
55.0,0.0,-0.525,-0.12,-21.5,90.0,0.75,-0.001,-0.005,0.005,0.54,0.75,-0.12,-0.005,-0.13,-0.005,-0.7,21.5,-0.54,25000
60.0,-0.006,-0.55,-0.07,-12.0,95.0,-0.8,0.0,0.006,0.004,0.56,-0.8,-0.07,-0.004,-0.08,0.006,0.8,12.0,-0.56,25000
65.0,-0.011,-0.52,-0.035,-5.0,80.0,-1.6,0.0,0.01,0.003,0.5,-1.6,-0.025,-0.003,-0.03,0.01,1.5,5.0,-0.5,25000
70.0,-0.012,-0.33,0.0,0.0,50.0,-1.7,0.0,0.012,0.002,0.32,-1.7,0.0,-0.002,0.0,0.012,1.8,0.0,-0.32,25000
75.0,-0.011,-0.18,0.025,4.0,20.0,-1.5,0.0,0.011,0.001,0.16,-1.5,0.025,-0.001,0.02,0.011,1.6,-4.0,-0.16,25000
80.0,-0.007,-0.08,0.032,5.2,0.0,-1.1,0.0,0.01,0.0,0.03,-1.1,0.035,0.0,0.03,0.01,1.2,-5.2,-0.03,25000
85.0,-0.004,0.03,0.035,5.0,-10.0,-0.6,0.0,0.003,0.0,-0.03,-0.6,0.03,0.0,0.037,0.003,0.75,-5.0,0.03,25000
90.0,-0.002,0.08,0.021,4.5,-14.0,-0.3,0.0,0.001,0.0,-0.08,-0.3,0.023,0.0,0.034,0.001,0.3,-4.5,0.08,25000
95.0,0.0,0.1,0.015,3.3,-15.0,0.2,0.0,0.0,0.0,-0.1,0.2,0.018,0.0,0.02,0.0,0.0,-3.3,0.1,25000
100.0,0.001,0.085,0.005,2.0,-12.0,0.3,0.0,0.0,0.0,-0.1,0.3,0.01,0.0,0.012,0.0,-0.2,-2.0,0.1,25000
105.0,0.002,0.07,0.0,1.0,-10.0,0.4,0.0,0.0,0.0,-0.07,0.4,0.0,0.0,0.005,0.0,-0.4,-1.0,0.07,25000
110.0,0.002,0.04,0.0,0.0,-5.0,0.2,0.0,0.0,0.0,-0.03,0.2,0.0,0.0,0.0,0.0,-0.4,0.0,0.03,25000
115.0,0.001,0.025,0.0,-0.5,0.0,0.1,0.0,0.0,0.0,-0.01,0.1,0.0,0.0,0.0,0.0,-0.3,0.5,0.01,25000
120.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,25000
125.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.7,0.0,25000
130.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.2,0.0,25000
135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000
